Union/Municipalities,Upzila,District,Division,Country,AREA_SQKM
Badhal,Kachua,Bagerhat,Khulna,Bangladesh,21.78616869
Badiakhali,Gaibandha Sadar,Gaibandha,Rangpur,Bangladesh,22.83664301
Badla,Itna,Kishoreganj,Dhaka,Bangladesh,56.94034637
Baga,Bauphal,Patuakhali,Barisal,Bangladesh,27.62244315
Bagachra,Sharsha,Jessore,Khulna,Bangladesh,28.19371111
Bagadana,Sonagazi,Feni,Chittagong,Bangladesh,11.90390292
Bagali,Koyra,Khulna,Khulna,Bangladesh,48.18356641
Bagan Bazar,Fatikchhari,Chittagong,Chittagong,Bangladesh,191.6905007
Baganbari,Matlab Uttar,Chandpur,Chittagong,Bangladesh,17.59444072
Bagar Char,Bakshiganj,Jamalpur,Mymensingh,Bangladesh,35.50683482
Bagasura,Madhabpur,Habiganj,Sylhet,Bangladesh,24.02886815
Bagat,Madhukhali,Faridpur,Dhaka,Bangladesh,15.67607172
Bagati Para,Bagati Para,Natore,Rajshahi,Bangladesh,19.24625435
Bagatipara Paurashava,Bagati Para,Natore,Rajshahi,Bangladesh,10.43003443
Bagdha,Agailjhara,Barisal,Barisal,Bangladesh,33.87840066
Bagerhat Paurashava,Bagerhat Sadar,Bagerhat,Khulna,Bangladesh,6.926889897
Bagha,Golabganj,Sylhet,Sylhet,Bangladesh,41.64641325
Bagha Paurashava,Bagha,Rajshahi,Rajshahi,Bangladesh,5.734276106
Baghaba,Shibpur,Narsingdi,Dhaka,Bangladesh,23.5683676
Baghadi,Chandpur Sadar,Chandpur,Chittagong,Bangladesh,17.47004985
Baghai Chhari,Baghai Chhari,Rangamati,Chittagong,Bangladesh,75.81865815
Baghaichhari Paurashava,Baghai Chhari,Rangamati,Chittagong,Bangladesh,13.40547982
Baghbati,Sirajganj Sadar,Sirajganj,Rajshahi,Bangladesh,25.7537381
Baghber,Dhobaura,Mymensingh,Mymensingh,Bangladesh,43.01013297
Baghber,Nalitabari,Sherpur,Mymensingh,Bangladesh,27.14027541
Bagher Para Paurashava,Bagher Para,Jessore,Khulna,Bangladesh,16.15101911
Baghil,Tangail Sadar,Tangail,Dhaka,Bangladesh,21.32603117
Baghmara,Comilla Sadar Dakshin,Comilla,Chittagong,Bangladesh,20.88593031
Baghmara Uttar,Comilla Sadar Dakshin,Comilla,Chittagong,Bangladesh,5.903440334
Baghra,Sreenagar,Munshiganj,Dhaka,Bangladesh,19.79486045
Baghutia,Daulatpur,Manikganj,Dhaka,Bangladesh,47.74746096
Baghutia,Abhaynagar,Jessore,Khulna,Bangladesh,22.58531309
Bagia,Magura Sadar,Magura,Khulna,Bangladesh,17.7390605
Bagjana,Panchbibi,Joypurhat,Rajshahi,Bangladesh,26.16130346
Bagoan,Raozan,Chittagong,Chittagong,Bangladesh,10.62634112
Bagoan,Mujib Nagar,Meherpur,Khulna,Bangladesh,46.06772155
Bagulat,Kumarkhali,Kushtia,Khulna,Bangladesh,27.54806205
Bagura,Shailkupa,Jhenaidah,Khulna,Bangladesh,24.39453932
Bagutia,Chauhali,Sirajganj,Rajshahi,Bangladesh,18.30175814
Bahadurabad,Dewanganj,Jamalpur,Mymensingh,Bangladesh,42.93039862
Bahadurpur,Madaripur Sadar,Madaripur,Dhaka,Bangladesh,5.409787065
Bahadurpur,Pangsha,Rajbari,Dhaka,Bangladesh,28.72378995
Bahadurpur,Sharsha,Jessore,Khulna,Bangladesh,34.9333945
Bahadurpur,Bheramara,Kushtia,Khulna,Bangladesh,16.02223116
Bahadurpur,Niamatpur,Naogaon,Rajshahi,Bangladesh,58.86583949
Bahadursadi,Kaliganj,Gazipur,Dhaka,Bangladesh,13.99849091
Bahagili,Kishoreganj,Nilphamari,Rangpur,Bangladesh,23.47738949
Bahalbaria,Mirpur,Kushtia,Khulna,Bangladesh,20.62164508
Bahara,Madhabpur,Habiganj,Sylhet,Bangladesh,28.70543167
Bahara,Sulla,Sunamganj,Sylhet,Bangladesh,62.28088701
Baharbunia,Morrelganj,Bagerhat,Khulna,Bangladesh,32.1441219
Baharchhara,Banshkhali,Chittagong,Chittagong,Bangladesh,20.40059273
Baharchhara,Teknaf,Cox's Bazar,Chittagong,Bangladesh,19.10619858
Baharpur,Balia Kandi,Rajbari,Dhaka,Bangladesh,39.8210403
Baheratail,Sakhipur,Tangail,Dhaka,Bangladesh,45.50215204
Bahir Char,Bheramara,Kushtia,Khulna,Bangladesh,34.22786611
Bahirdia Mansa,Fakirhat,Bagerhat,Khulna,Bangladesh,16.75465967
Bahrampur,Dashmina,Patuakhali,Barisal,Bangladesh,22.15843598
Bahubal,Bahubal,Habiganj,Sylhet,Bangladesh,20.26957391
Bahugram,Muksudpur,Gopalganj,Dhaka,Bangladesh,16.16800683
Bahuli,Sirajganj Sadar,Sirajganj,Rajshahi,Bangladesh,23.64045198
Bahuria,Mirzapur,Tangail,Dhaka,Bangladesh,20.39319789
Baidyer Bazar,Sonargaon,Narayanganj,Dhaka,Bangladesh,14.61186366
Baikari,Satkhira Sadar,Satkhira,Khulna,Bangladesh,25.39318372
Bailar,Trishal,Mymensingh,Mymensingh,Bangladesh,25.74609762
Bailchhari,Banshkhali,Chittagong,Chittagong,Bangladesh,12.10122858
Bailtali,Chandanaish,Chittagong,Chittagong,Bangladesh,9.542600548
Baintala,Rampal,Bagerhat,Khulna,Bangladesh,35.75909143
Baira (kewatkhali),Mymensingh Sadar,Mymensingh,Mymensingh,Bangladesh,5.701246659
Bairag,Anowara,Chittagong,Chittagong,Bangladesh,15.74987212
Bairati,Mithamain,Kishoreganj,Dhaka,Bangladesh,14.9078609
Bairati,Purbadhala,Netrakona,Mymensingh,Bangladesh,24.5277426
Bairchuna,Pirganj,Thakurgaon,Rangpur,Bangladesh,36.85629353
Baisakanda,Dhamrai,Dhaka,Dhaka,Bangladesh,18.29841847
Baisari Para,Banari Para,Barisal,Barisal,Bangladesh,10.5284444
Baishari,Naikhongchhari,Bandarban,Chittagong,Bangladesh,98.36823924
Baishgaon,Manoharganj,Comilla,Chittagong,Bangladesh,17.02340546
Bajitkhila,Sherpur Sadar,Sherpur,Mymensingh,Bangladesh,15.88878512
Bajitpur,Rajoir,Madaripur,Dhaka,Bangladesh,21.63813889
Bajitpur Paurashava,Bajitpur,Kishoreganj,Dhaka,Bangladesh,11.50789042
Bajnaba,Belabo,Narsingdi,Dhaka,Bangladesh,13.47264779
Bajra Jogini,Munshiganj Sadar,Munshiganj,Dhaka,Bangladesh,9.710923195
Bajua,Dacope,Khulna,Khulna,Bangladesh,29.9518158
Bajubagha,Bagha,Rajshahi,Rajshahi,Bangladesh,17.30375594
Bakai,Laksam,Comilla,Chittagong,Bangladesh,27.70104719
Bakal,Agailjhara,Barisal,Barisal,Bangladesh,32.36771022
Bakaljora,Durgapur,Netrakona,Mymensingh,Bangladesh,36.01159279
Bakila,Hajiganj,Chandpur,Chittagong,Bangladesh,15.2879843
Baksh Mohammad,Parshuram,Feni,Chittagong,Bangladesh,30.12166079
Bakshaganj,Nangalkot,Comilla,Chittagong,Bangladesh,13.59572356
Bakshanagar,Nawabganj,Dhaka,Dhaka,Bangladesh,9.273282774
Bakshiganj,Bakshiganj,Jamalpur,Mymensingh,Bangladesh,31.05803986
Bakshimail,Mohanpur,Rajshahi,Rajshahi,Bangladesh,22.66850919
Baksimail,Burichang,Comilla,Chittagong,Bangladesh,25.55213156
Bakta,Fulbaria,Mymensingh,Mymensingh,Bangladesh,30.36454636
Baktaballi,Narayanganj Sadar,Narayanganj,Dhaka,Bangladesh,22.86384658
